Height,Diameter,Weight,Stain_Area,Eggshell_fissure,Leaks_presence,Internal_immaculacy,Specific_gravity,Motted_area,Internal_chamber_distance,Color_uniformity,Rugosity,Eggshell_thickness
57.694,44.926,65.912,0.15,78.0,False,True,1.0815,1.7,6.7,2.8,9.6,0.333
57.703,46.214,69.121,0.61,23.0,False,False,1.0553,4.2,6.0,0.2,1.6,0.322
57.716,46.216,69.099,0.9,97.0,False,False,1.0541,5.2,3.4,3.2,6.3,0.405
57.749,46.358,66.103,0.23,17.0,False,True,1.0586,6.1,6.1,1.5,9.5,0.407
57.775,46.356,66.108,0.68,43.0,False,True,1.0555,7.2,6.0,3.6,2.3,0.385
57.835,47.754,66.231,0.23,102.0,False,False,1.0626,7.1,3.2,3.9,5.8,0.343
57.863,45.259,65.012,0.41,121.0,False,True,1.0598,4.2,6.7,5.6,3.7,0.313
57.864,45.259,65.864,0.26,108.0,False,True,1.0863,2.6,4.0,3.0,4.5,0.322
57.912,46.924,65.773,0.36,57.0,False,True,1.082,0.2,7.1,3.0,7.8,0.354
57.918,46.915,65.712,0.72,34.0,True,True,1.0606,0.5,4.6,1.1,2.2,0.316
57.946,46.534,66.031,0.75,114.0,False,True,1.0626,3.6,5.2,2.6,10.1,0.366
58.012,45.684,68.818,0.92,104.0,False,False,1.0827,6.5,4.8,1.4,3.2,0.301
58.014,45.678,68.125,0.9,44.0,False,True,1.0639,1.1,3.2,5.4,0.4,0.37
58.015,45.405,65.578,0.36,150.0,True,False,1.0593,1.2,7.2,2.5,9.1,0.318
58.015,45.334,68.812,0.24,12.0,True,True,1.0649,7.1,7.0,0.9,7.7,0.309
58.021,45.634,68.801,0.37,76.0,False,True,1.0593,1.0,6.3,4.9,3.8,0.381
58.027,45.546,65.623,0.44,43.0,False,True,1.069,6.5,4.9,5.4,1.1,0.305
58.043,45.578,65.602,0.95,145.0,False,True,1.0639,1.2,3.1,5.2,6.3,0.41
58.054,45.324,68.012,0.39,41.0,False,True,1.0525,2.3,7.1,2.5,9.3,0.435
58.063,45.459,65.502,0.03,117.0,False,True,1.0722,3.9,6.3,3.8,0.3,0.321
58.063,45.416,65.512,0.88,13.0,False,False,1.0726,4.6,3.8,3.5,6.2,0.422
58.072,45.447,65.532,0.59,39.0,True,False,1.0648,1.4,5.1,5.1,10.2,0.364
58.101,46.678,68.098,0.25,65.0,True,True,1.077,5.8,3.7,1.3,4.3,0.429
58.129,46.106,66.211,0.65,22.0,False,False,1.0635,3.1,4.9,5.1,4.4,0.348
58.154,46.146,66.233,0.22,63.0,True,True,1.0813,1.8,4.6,3.0,9.8,0.394
58.165,46.671,68.093,0.11,99.0,False,True,1.0893,5.4,6.6,2.3,8.2,0.384
58.168,46.576,68.009,0.68,14.0,True,True,1.0703,2.4,6.0,3.6,1.9,0.442
58.192,46.134,66.211,0.75,77.0,False,False,1.0887,1.8,5.3,1.8,7.0,0.395
58.216,45.337,65.664,0.05,3.0,True,True,1.0581,6.3,5.6,1.1,6.2,0.318
58.229,45.324,65.646,0.3,15.0,True,True,1.0711,2.0,5.9,4.7,7.2,0.348
58.236,46.168,68.004,0.95,111.0,False,True,1.0526,2.5,4.1,5.7,9.0,0.446
58.246,45.989,66.144,0.16,130.0,False,False,1.0579,6.4,3.4,2.6,6.7,0.374
58.247,45.934,66.146,0.47,99.0,False,True,1.0641,3.1,3.8,1.1,7.6,0.39
58.263,46.198,68.984,0.9,48.0,False,False,1.0774,3.1,4.2,1.5,4.8,0.361
58.271,45.368,65.613,0.67,83.0,False,False,1.0742,1.7,3.4,4.3,2.9,0.404
58.273,45.905,66.107,0.65,112.0,True,True,1.0605,4.2,6.6,2.9,4.3,0.345
58.291,46.147,68.098,0.09,28.0,False,True,1.063,6.0,5.2,3.7,1.9,0.404
58.317,45.745,65.911,0.61,143.0,False,True,1.0815,5.8,3.8,2.3,1.8,0.433
58.321,45.754,65.921,0.75,55.0,False,True,1.0563,2.1,5.7,2.0,6.3,0.359
58.323,45.298,65.643,0.45,118.0,False,True,1.0583,5.4,6.7,5.3,7.9,0.303
58.336,45.224,65.671,0.29,66.0,True,False,1.0865,0.2,5.6,5.5,7.2,0.39
58.353,45.794,65.901,0.68,143.0,False,True,1.0783,4.6,6.2,5.1,6.7,0.436
58.371,45.257,65.652,0.22,148.0,True,True,1.0787,5.2,5.1,5.2,4.2,0.448
58.425,45.056,65.535,0.92,37.0,False,False,1.0537,5.1,6.3,5.3,1.7,0.401
58.435,45.682,65.571,0.71,45.0,False,False,1.0516,5.9,4.8,3.4,8.1,0.399
58.456,45.456,65.512,0.21,8.0,False,True,1.0516,7.1,3.5,4.8,4.1,0.304
58.616,44.527,65.237,0.62,118.0,False,True,1.052,4.2,3.8,2.6,3.7,0.447
58.652,44.545,65.293,0.59,65.0,True,True,1.0603,5.6,6.1,3.3,8.1,0.323
58.698,44.568,65.211,0.22,145.0,False,False,1.0752,4.6,3.8,0.5,8.0,0.389
58.712,45.307,65.921,0.07,26.0,False,False,1.0595,5.1,6.9,0.0,2.2,0.306
58.742,45.389,65.941,0.66,45.0,False,True,1.0812,5.8,6.7,4.5,5.3,0.447
58.758,45.337,65.903,0.01,67.0,False,True,1.0852,1.6,4.9,2.9,1.1,0.382
58.833,45.267,67.008,0.19,42.0,False,True,1.0682,6.2,6.8,2.4,2.4,0.345
58.835,45.838,66.045,0.0,54.0,False,True,1.0535,1.7,6.0,2.2,0.6,0.447
58.848,45.859,66.178,0.87,134.0,False,True,1.0818,3.2,6.2,2.2,5.7,0.44
58.876,45.834,66.881,0.15,53.0,False,True,1.0714,3.3,3.4,0.5,6.9,0.413
58.881,45.286,67.244,0.84,37.0,False,True,1.0813,2.5,4.3,3.6,7.8,0.377
58.883,45.294,67.091,0.47,66.0,False,False,1.0686,3.3,3.2,3.0,8.4,0.383
58.925,45.317,68.125,0.99,119.0,False,True,1.0587,0.5,7.0,3.6,3.5,0.326
58.951,45.494,65.576,0.41,49.0,False,False,1.0512,3.1,5.2,1.7,6.7,0.438
58.966,45.326,68.023,0.79,108.0,True,True,1.0637,6.8,3.5,4.9,7.9,0.386
58.971,45.445,65.527,0.17,3.0,False,True,1.0783,2.9,5.6,3.5,6.9,0.316
58.976,45.346,68.123,1.0,29.0,False,True,1.0801,0.7,3.3,5.4,3.3,0.375
58.982,45.347,68.156,0.06,37.0,True,True,1.0756,6.1,5.3,2.1,7.5,0.418
59.301,45.906,67.208,0.14,124.0,False,True,1.0878,6.4,5.3,2.1,2.5,0.441
59.321,45.908,67.206,0.57,95.0,False,True,1.0785,4.8,3.2,2.5,6.2,0.333
59.34,44.428,66.208,0.77,114.0,True,True,1.0843,4.8,6.4,4.8,1.9,0.317
59.342,45.956,67.559,0.52,38.0,False,False,1.0595,0.4,3.5,3.7,2.7,0.32
59.362,44.423,66.905,0.61,50.0,False,True,1.0859,3.8,5.8,1.9,9.1,0.365
59.397,44.436,66.541,0.24,100.0,False,True,1.0857,4.0,4.6,3.7,1.9,0.377
59.413,45.367,67.009,0.9,30.0,False,True,1.0829,1.6,5.8,1.1,5.3,0.421
59.425,45.357,67.912,0.61,126.0,True,True,1.089,6.1,3.9,3.8,8.4,0.303
59.456,45.375,67.777,0.09,43.0,False,True,1.058,1.1,5.2,1.4,10.2,0.309
59.575,45.394,65.071,0.04,38.0,False,True,1.0503,1.7,3.7,1.6,2.9,0.435
59.587,45.304,65.512,0.06,118.0,False,True,1.0714,0.6,3.6,3.4,0.7,0.431
59.597,45.379,65.007,0.53,109.0,True,False,1.0783,0.0,3.5,4.0,3.3,0.408
59.715,45.379,69.031,0.81,94.0,False,True,1.0618,1.2,5.1,0.5,6.3,0.302
59.727,45.326,69.036,0.77,101.0,True,True,1.0609,1.8,4.1,2.5,7.0,0.413
59.757,45.324,69.312,0.95,80.0,True,True,1.0627,0.9,7.1,2.8,5.2,0.448
61.041,45.558,68.301,0.48,101.0,True,True,1.0733,1.0,4.6,0.1,8.6,0.42
61.054,45.546,68.298,0.15,18.0,False,True,1.0735,5.1,4.8,1.0,2.5,0.317
61.972,45.536,68.218,0.66,115.0,False,False,1.0678,6.9,3.3,2.8,3.7,0.326
62.002,45.634,68.306,0.23,129.0,False,True,1.078,2.4,4.9,5.5,9.0,0.447
62.003,45.714,68.331,0.27,38.0,False,True,1.0816,6.2,5.2,2.5,1.5,0.309
